

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
56  Proposed     10         5  47.647768  47.513583  65.297032  56.405308
9   Proposed     15         1  42.943305  36.240290  45.786248  41.013269
21  Proposed     15         2  44.752714  36.240290  45.786248  41.013269
33  Proposed     15         3  41.013269  36.240290  45.786248  41.013269
45  Proposed     15         4  34.620024  36.240290  45.786248  41.013269
57  Proposed     15         5  41.737033  36.240290  45.786248  41.013269
10  Proposed     20         1  22.557298  18.599252  24.681809  21.640531
22  Proposed     20         2  19.179735  18.599252  24.681809  21.640531
34  Proposed     20         3  20.506634  18.599252  24.681809  21.640531
46  Proposed     20         4  25.452352  18.599252  24.681809  21.640531
58  Proposed     20         5  20.506634  18.599252  24.681809  21.640531
11  Proposed     25         1  11.942099  12.210894  15.871133  14.041013
23  Proposed     25         2  15.199035  12.210894  15.871133  14.041013
35  Proposed     25         3  15.078408  12.210894  15.871133  14.041013
47  Proposed     25         4  14.957780  12.210894  15.871133  14.041013
59  Proposed     25         5  13.027744  12.210894  15.871133  14.041013

power-685-bus
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  98.540146  97.735481  98.760870  98.248175
12  Original      0         2  98.540146  97.735481  98.760870  98.248175
24  Original      0         3  97.664234  97.735481  98.760870  98.248175
36  Original      0         4  97.956204  97.735481  98.760870  98.248175
48  Original      0         5  98.540146  97.735481  98.760870  98.248175
1   Original      5         1  43.065693  44.782209  59.976915  52.379562
13  Original      5         2  49.927007  44.782209  59.976915  52.379562
25  Original      5         3  54.744526  44.782209  59.976915  52.379562
37  Original      5         4  58.978102  44.782209  59.976915  52.379562
49  Original      5         5  55.182482  44.782209  59.976915  52.379562
2   Original     10         1  13.138686  14.147458  22.056921  18.102190
14  Original     10         2  18.394161  14.147458  22.056921  18.102190
26  Original     10         3  17.810219  14.147458  22.056921  18.102190
38  Original     10         4  19.270073  14.147458  22.056921  18.102190
50  Original     10         5  21.897810  14.147458  22.056921  18.102190
3   Original     15         1   6.861314   5.200202   8.172061   6.686131
15  Original     15         2   8.613139   5.200202   8.172061   6.686131
27  Original     15         3   5.401460   5.200202   8.172061   6.686131
39  Original     15         4   6.277372   5.200202   8.172061   6.686131
51  Original     15         5   6.277372   5.200202   8.172061   6.686131
4   Original     20         1   4.379562   4.455398   5.646792   5.051095
16  Original     20         2   5.693431   4.455398   5.646792   5.051095
28  Original     20         3   4.963504   4.455398   5.646792   5.051095
40  Original     20         4   5.255474   4.455398   5.646792   5.051095
52  Original     20         5   4.963504   4.455398   5.646792   5.051095
5   Original     25         1   2.773723   2.713289   3.651674   3.182482
17  Original     25         2   3.065693   2.713289   3.651674   3.182482
29  Original     25         3   2.919708   2.713289   3.651674   3.182482
41  Original     25         4   3.503650   2.713289   3.651674   3.182482
53  Original     25         5   3.649635   2.713289   3.651674   3.182482
6   Proposed      0         1  97.664234  97.208708  98.002971  97.605839
18  Proposed      0         2  97.664234  97.208708  98.002971  97.605839
30  Proposed      0         3  97.664234  97.208708  98.002971  97.605839
42  Proposed      0         4  97.956204  97.208708  98.002971  97.605839
54  Proposed      0         5  97.080292  97.208708  98.002971  97.605839
7   Proposed      5         1  64.525547  65.885328  75.720511  70.802920
19  Proposed      5         2  70.510949  65.885328  75.720511  70.802920
31  Proposed      5         3  72.408759  65.885328  75.720511  70.802920
43  Proposed      5         4  71.240876  65.885328  75.720511  70.802920
55  Proposed      5         5  75.328467  65.885328  75.720511  70.802920
8   Proposed     10         1  28.467153  28.702535  39.443450  34.072993
