

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
56  Proposed     10         5  75.392039  74.284831  87.017944  80.651387
9   Proposed     15         1  65.018094  54.091434  70.106394  62.098914
21  Proposed     15         2  71.049457  54.091434  70.106394  62.098914
33  Proposed     15         3  58.262967  54.091434  70.106394  62.098914
45  Proposed     15         4  54.161641  54.091434  70.106394  62.098914
57  Proposed     15         5  62.002413  54.091434  70.106394  62.098914
10  Proposed     20         1  31.242461  25.726712  36.613457  31.170084
22  Proposed     20         2  26.899879  25.726712  36.613457  31.170084
34  Proposed     20         3  30.036188  25.726712  36.613457  31.170084
46  Proposed     20         4  38.480097  25.726712  36.613457  31.170084
58  Proposed     20         5  29.191797  25.726712  36.613457  31.170084
11  Proposed     25         1  19.420989  16.460027  22.574955  19.517491
23  Proposed     25         2  20.144753  16.460027  22.574955  19.517491
35  Proposed     25         3  17.852835  16.460027  22.574955  19.517491
47  Proposed     25         4  23.281062  16.460027  22.574955  19.517491
59  Proposed     25         5  16.887817  16.460027  22.574955  19.517491

power-685-bus
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  98.540146  97.873554  98.973161  98.423358
12  Original      0         2  98.248175  97.873554  98.973161  98.423358
24  Original      0         3  98.248175  97.873554  98.973161  98.423358
36  Original      0         4  99.124088  97.873554  98.973161  98.423358
48  Original      0         5  97.956204  97.873554  98.973161  98.423358
1   Original      5         1  41.459854  35.527008  56.735766  46.131387
13  Original      5         2  33.868613  35.527008  56.735766  46.131387
25  Original      5         3  51.240876  35.527008  56.735766  46.131387
37  Original      5         4  48.613139  35.527008  56.735766  46.131387
49  Original      5         5  55.474453  35.527008  56.735766  46.131387
2   Original     10         1   3.357664   3.093734  14.599696   8.846715
14  Original     10         2   7.445255   3.093734  14.599696   8.846715
26  Original     10         3  13.284672   3.093734  14.599696   8.846715
38  Original     10         4   6.131387   3.093734  14.599696   8.846715
50  Original     10         5  14.014599   3.093734  14.599696   8.846715
3   Original     15         1   0.145985  -0.072014   2.524569   1.226277
15  Original     15         2   1.751825  -0.072014   2.524569   1.226277
27  Original     15         3   0.875912  -0.072014   2.524569   1.226277
39  Original     15         4   2.773723  -0.072014   2.524569   1.226277
51  Original     15         5   0.583942  -0.072014   2.524569   1.226277
4   Original     20         1   0.583942   0.256135   1.262114   0.759124
16  Original     20         2   1.021898   0.256135   1.262114   0.759124
28  Original     20         3   0.145985   0.256135   1.262114   0.759124
40  Original     20         4   1.167883   0.256135   1.262114   0.759124
52  Original     20         5   0.875912   0.256135   1.262114   0.759124
5   Original     25         1   0.437956   0.064208   0.461339   0.262774
17  Original     25         2   0.437956   0.064208   0.461339   0.262774
29  Original     25         3   0.145985   0.064208   0.461339   0.262774
